# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3060906	3062213	-							EJO50_RS13425	1308		old_locus_tag=EJO50_13425
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3060906	3062213	-	WP_125974967.1	WP_125974967.1		chloride channel protein			EJO50_RS13425	1308	435	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3062225	3062869	-					queE		EJO50_RS13430	645		old_locus_tag=EJO50_13430
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3062225	3062869	-	WP_125974969.1	WP_125974969.1		7-carboxy-7-deazaguanine synthase QueE	queE		EJO50_RS13430	645	214	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3063046	3063774	-							EJO50_RS13435	729		old_locus_tag=EJO50_13435
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3063046	3063774	-	WP_164521511.1	WP_164521511.1		tetratricopeptide repeat protein			EJO50_RS13435	729	242	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3063866	3064414	-					pal		EJO50_RS13440	549		old_locus_tag=EJO50_13440
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3063866	3064414	-	WP_206434395.1	WP_206434395.1		peptidoglycan-associated lipoprotein Pal	pal		EJO50_RS13440	549	182	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3064511	3065782	-					tolB		EJO50_RS13445	1272		old_locus_tag=EJO50_13445
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3064511	3065782	-	WP_125974973.1	WP_125974973.1		Tol-Pal system beta propeller repeat protein TolB	tolB		EJO50_RS13445	1272	423	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3065891	3066778	-							EJO50_RS13450	888		old_locus_tag=EJO50_13450
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3065891	3066778	-	WP_125974975.1	WP_125974975.1		TonB C-terminal domain-containing protein			EJO50_RS13450	888	295	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3066780	3067187	-					tolR		EJO50_RS13455	408		old_locus_tag=EJO50_13455
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3066780	3067187	-	WP_125974977.1	WP_125974977.1		protein TolR	tolR		EJO50_RS13455	408	135	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3067187	3067801	-					tolQ		EJO50_RS13460	615		old_locus_tag=EJO50_13460
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3067187	3067801	-	WP_233702282.1	WP_233702282.1		protein TolQ	tolQ		EJO50_RS13460	615	204	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3067956	3068993	-					ruvB		EJO50_RS13465	1038		old_locus_tag=EJO50_13465
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3067956	3068993	-	WP_115228480.1	WP_115228480.1		Holliday junction branch migration DNA helicase RuvB	ruvB		EJO50_RS13465	1038	345	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3069369	3069968	-					ruvA		EJO50_RS13470	600		old_locus_tag=EJO50_13470
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3069369	3069968	-	WP_125974978.1	WP_125974978.1		Holliday junction branch migration protein RuvA	ruvA		EJO50_RS13470	600	199	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3070003	3070710	+							EJO50_RS13475	708		old_locus_tag=EJO50_13475
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3070003	3070710	+	WP_125974979.1	WP_125974979.1		transporter substrate-binding domain-containing protein			EJO50_RS13475	708	235	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3070707	3071228	-					ruvC		EJO50_RS13480	522		old_locus_tag=EJO50_13480
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3070707	3071228	-	WP_125974980.1	WP_125974980.1		crossover junction endodeoxyribonuclease RuvC	ruvC		EJO50_RS13480	522	173	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3071277	3072131	-							EJO50_RS13485	855		old_locus_tag=EJO50_13485
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3071277	3072131	-	WP_164521512.1	WP_164521512.1		energy transducer TonB			EJO50_RS13485	855	284	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3072244	3072546	+							EJO50_RS13490	303		old_locus_tag=EJO50_13490
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3072244	3072546	+	WP_125974983.1	WP_125974983.1		c-type cytochrome			EJO50_RS13490	303	100	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3072732	3073148	+					dksA		EJO50_RS13495	417		old_locus_tag=EJO50_13495
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3072732	3073148	+	WP_125974985.1	WP_125974985.1		RNA polymerase-binding protein DksA	dksA		EJO50_RS13495	417	138	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3073164	3073580	+							EJO50_RS13500	417		old_locus_tag=EJO50_13500
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3073164	3073580	+	WP_125974987.1	WP_125974987.1		transcriptional repressor			EJO50_RS13500	417	138	
gene	pseudogene	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3073645	3074714	+					aroG		EJO50_RS13505	1070		pseudo;old_locus_tag=EJO50_13505
CDS	without_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3073645	3074714	+				3-deoxy-7-phosphoheptulonate synthase AroG	aroG		EJO50_RS13505	1070		pseudo
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3074761	3074985	+							EJO50_RS13510	225		old_locus_tag=EJO50_13510
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3074761	3074985	+	WP_125974989.1	WP_125974989.1		hypothetical protein			EJO50_RS13510	225	74	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3074975	3075256	+							EJO50_RS13515	282		old_locus_tag=EJO50_13515
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3074975	3075256	+	WP_125974991.1	WP_125974991.1		hypothetical protein			EJO50_RS13515	282	93	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3075259	3075738	-							EJO50_RS13520	480		old_locus_tag=EJO50_13520
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3075259	3075738	-	WP_125974993.1	WP_125974993.1		hypothetical protein			EJO50_RS13520	480	159	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3076076	3077269	+							EJO50_RS13525	1194		old_locus_tag=EJO50_13525
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3076076	3077269	+	WP_125974995.1	WP_125974995.1		acetate/propionate family kinase			EJO50_RS13525	1194	397	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3077589	3078338	+							EJO50_RS13530	750		old_locus_tag=EJO50_13530
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3077589	3078338	+	WP_125974997.1	WP_125974997.1		DUF2189 domain-containing protein			EJO50_RS13530	750	249	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3078328	3078714	+							EJO50_RS13535	387		old_locus_tag=EJO50_13535
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3078328	3078714	+	WP_125974999.1	WP_125974999.1		diacylglycerol kinase			EJO50_RS13535	387	128	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3079092	3079565	-							EJO50_RS13540	474		old_locus_tag=EJO50_13540
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3079092	3079565	-	WP_125975001.1	WP_125975001.1		hypothetical protein			EJO50_RS13540	474	157	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3079773	3080903	-					ccsB		EJO50_RS13545	1131		old_locus_tag=EJO50_13545
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3079773	3080903	-	WP_125975003.1	WP_125975003.1		c-type cytochrome biogenesis protein CcsB	ccsB		EJO50_RS13545	1131	376	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3080900	3082912	-							EJO50_RS13550	2013		old_locus_tag=EJO50_13550
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3080900	3082912	-	WP_125975005.1	WP_125975005.1		cytochrome c biogenesis protein ResB			EJO50_RS13550	2013	670	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3083066	3083683	-							EJO50_RS13555	618		old_locus_tag=EJO50_13555
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3083066	3083683	-	WP_125976509.1	WP_125976509.1		cytochrome c4			EJO50_RS13555	618	205	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3083930	3084583	+					yihA		EJO50_RS13560	654		old_locus_tag=EJO50_13560
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3083930	3084583	+	WP_125975007.1	WP_125975007.1		ribosome biogenesis GTP-binding protein YihA/YsxC	yihA		EJO50_RS13560	654	217	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3084887	3085270	+							EJO50_RS13565	384		old_locus_tag=EJO50_13565
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3084887	3085270	+	WP_125975009.1	WP_125975009.1		response regulator			EJO50_RS13565	384	127	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3085294	3085650	+							EJO50_RS13570	357		old_locus_tag=EJO50_13570
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3085294	3085650	+	WP_206434527.1	WP_206434527.1		response regulator			EJO50_RS13570	357	118	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3085864	3086379	+							EJO50_RS13575	516		old_locus_tag=EJO50_13575
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3085864	3086379	+	WP_125975013.1	WP_125975013.1		chemotaxis protein CheW			EJO50_RS13575	516	171	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3086530	3088707	+							EJO50_RS13580	2178		old_locus_tag=EJO50_13580
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3086530	3088707	+	WP_125975015.1	WP_125975015.1		methyl-accepting chemotaxis protein			EJO50_RS13580	2178	725	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3088817	3094153	+							EJO50_RS13585	5337		old_locus_tag=EJO50_13585
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3088817	3094153	+	WP_125975017.1	WP_125975017.1		Hpt domain-containing protein			EJO50_RS13585	5337	1778	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3094539	3095330	+							EJO50_RS13590	792		old_locus_tag=EJO50_13590
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3094539	3095330	+	WP_125975019.1	WP_125975019.1		transporter substrate-binding domain-containing protein			EJO50_RS13590	792	263	
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3095445	3095520	-							EJO50_RS13595	76		old_locus_tag=EJO50_13595
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3095445	3095520	-				tRNA-Lys			EJO50_RS13595	76		anticodon=TTT
gene	pseudogene	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3096838	3097026	-							EJO50_RS17530	189		partial;pseudo
CDS	without_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3096838	3097026	-				transposase			EJO50_RS17530	189		partial;pseudo
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3097140	3097403	-							EJO50_RS13605	264		old_locus_tag=EJO50_13605
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3097140	3097403	-	WP_125975023.1	WP_125975023.1		PAAR domain-containing protein			EJO50_RS13605	264	87	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3097515	3099164	-							EJO50_RS13610	1650		old_locus_tag=EJO50_13610
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3097515	3099164	-	WP_125975025.1	WP_125975025.1		DUF2875 family protein			EJO50_RS13610	1650	549	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3099161	3101059	-							EJO50_RS13615	1899		old_locus_tag=EJO50_13615
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3099161	3101059	-	WP_164521513.1	WP_164521513.1		DUF3274 domain-containing protein			EJO50_RS13615	1899	632	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3101064	3102488	-					vgrG		EJO50_RS17535	1425		
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3101064	3102488	-	WP_233702086.1	WP_233702086.1		type VI secretion system tip protein VgrG	vgrG		EJO50_RS17535	1425	474	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3102437	3103495	-							EJO50_RS17540	1059		
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3102437	3103495	-	WP_233702087.1	WP_233702087.1		phage late control D family protein			EJO50_RS17540	1059	352	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3103510	3103761	-							EJO50_RS17545	252		
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3103510	3103761	-	WP_233702089.1	WP_233702089.1		hypothetical protein			EJO50_RS17545	252	83	
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3104293	3104368	-							EJO50_RS13625	76		old_locus_tag=EJO50_13625
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3104293	3104368	-				tRNA-Lys			EJO50_RS13625	76		anticodon=CTT
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3104396	3104471	-							EJO50_RS13630	76		old_locus_tag=EJO50_13630
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3104396	3104471	-				tRNA-Lys			EJO50_RS13630	76		anticodon=TTT
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3104753	3105133	+					gloA		EJO50_RS13635	381		old_locus_tag=EJO50_13635
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3104753	3105133	+	WP_125975029.1	WP_125975029.1		lactoylglutathione lyase	gloA		EJO50_RS13635	381	126	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3105130	3106533	+							EJO50_RS13640	1404		old_locus_tag=EJO50_13640
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3105130	3106533	+	WP_125975031.1	WP_125975031.1		sodium:proton antiporter			EJO50_RS13640	1404	467	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3106605	3107717	-							EJO50_RS13645	1113		old_locus_tag=EJO50_13645
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3106605	3107717	-	WP_125975033.1	WP_125975033.1		toxic anion resistance protein			EJO50_RS13645	1113	370	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3107726	3108463	-							EJO50_RS13650	738		old_locus_tag=EJO50_13650
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3107726	3108463	-	WP_125975035.1	WP_125975035.1		hypothetical protein			EJO50_RS13650	738	245	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3108463	3109044	-							EJO50_RS13655	582		old_locus_tag=EJO50_13655
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3108463	3109044	-	WP_125975037.1	WP_125975037.1		TerD family protein			EJO50_RS13655	582	193	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3109114	3109863	-							EJO50_RS13660	750		old_locus_tag=EJO50_13660
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3109114	3109863	-	WP_125975039.1	WP_125975039.1		VWA domain-containing protein			EJO50_RS13660	750	249	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3110525	3112924	+							EJO50_RS13665	2400		old_locus_tag=EJO50_13665
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3110525	3112924	+	WP_233702090.1	WP_233702090.1		phosphoketolase family protein			EJO50_RS13665	2400	799	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3113178	3113978	+							EJO50_RS13670	801		old_locus_tag=EJO50_13670
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3113178	3113978	+	WP_125975041.1	WP_125975041.1		inositol monophosphatase			EJO50_RS13670	801	266	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3114911	3116188	+							EJO50_RS13675	1278		old_locus_tag=EJO50_13675
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3114911	3116188	+	WP_125975043.1	WP_125975043.1		NupC/NupG family nucleoside CNT transporter			EJO50_RS13675	1278	425	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3116370	3117146	+					deoC		EJO50_RS13680	777		old_locus_tag=EJO50_13680
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3116370	3117146	+	WP_125975045.1	WP_125975045.1		deoxyribose-phosphate aldolase	deoC		EJO50_RS13680	777	258	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3117213	3118520	+					deoA		EJO50_RS13685	1308		old_locus_tag=EJO50_13685
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3117213	3118520	+	WP_125975047.1	WP_125975047.1		thymidine phosphorylase	deoA		EJO50_RS13685	1308	435	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3118560	3119774	+							EJO50_RS13690	1215		old_locus_tag=EJO50_13690
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3118560	3119774	+	WP_125975049.1	WP_125975049.1		phosphopentomutase			EJO50_RS13690	1215	404	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3119778	3120206	+							EJO50_RS13695	429		old_locus_tag=EJO50_13695
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3119778	3120206	+	WP_125975051.1	WP_125975051.1		cytidine deaminase			EJO50_RS13695	429	142	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3120437	3121198	+					udp		EJO50_RS13700	762		old_locus_tag=EJO50_13700
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3120437	3121198	+	WP_125975053.1	WP_125975053.1		uridine phosphorylase	udp		EJO50_RS13700	762	253	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3121394	3122908	-					ilvA		EJO50_RS13705	1515		old_locus_tag=EJO50_13705
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3121394	3122908	-	WP_206434396.1	WP_206434396.1		threonine ammonia-lyase, biosynthetic	ilvA		EJO50_RS13705	1515	504	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3123145	3124137	-							EJO50_RS13710	993		old_locus_tag=EJO50_13710
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3123145	3124137	-	WP_125975057.1	WP_125975057.1		DUF3369 domain-containing protein			EJO50_RS13710	993	330	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3124328	3125626	+					hslU		EJO50_RS13715	1299		old_locus_tag=EJO50_13715
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3124328	3125626	+	WP_206434528.1	WP_206434528.1		ATP-dependent protease ATPase subunit HslU	hslU		EJO50_RS13715	1299	432	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3126460	3127422	+							EJO50_RS13720	963		old_locus_tag=EJO50_13720
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3126460	3127422	+	WP_125975059.1	WP_125975059.1		ABC transporter substrate-binding protein			EJO50_RS13720	963	320	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3127584	3128483	+							EJO50_RS13725	900		old_locus_tag=EJO50_13725
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3127584	3128483	+	WP_125975061.1	WP_125975061.1		ABC transporter permease			EJO50_RS13725	900	299	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3128480	3129286	+							EJO50_RS13730	807		old_locus_tag=EJO50_13730
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3128480	3129286	+	WP_125975063.1	WP_125975063.1		ABC transporter ATP-binding protein			EJO50_RS13730	807	268	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3129582	3130556	-							EJO50_RS13735	975		old_locus_tag=EJO50_13735
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3129582	3130556	-	WP_233702284.1	WP_233702284.1		hypothetical protein			EJO50_RS13735	975	324	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3130587	3131582	-							EJO50_RS13740	996		old_locus_tag=EJO50_13740
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3130587	3131582	-	WP_125975068.1	WP_125975068.1		hypothetical protein			EJO50_RS13740	996	331	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3131579	3133297	-							EJO50_RS13745	1719		old_locus_tag=EJO50_13745
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3131579	3133297	-	WP_125975070.1	WP_125975070.1		hypothetical protein			EJO50_RS13745	1719	572	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3133297	3135993	-					vgrG		EJO50_RS13750	2697		old_locus_tag=EJO50_13750
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3133297	3135993	-	WP_125975073.1	WP_125975073.1		type VI secretion system tip protein VgrG	vgrG		EJO50_RS13750	2697	898	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3136307	3136648	-							EJO50_RS13755	342		old_locus_tag=EJO50_13755
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3136307	3136648	-	WP_125975076.1	WP_125975076.1		DUF1289 domain-containing protein			EJO50_RS13755	342	113	
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3136915	3136991	+							EJO50_RS13760	77		old_locus_tag=EJO50_13760
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3136915	3136991	+				tRNA-Gln			EJO50_RS13760	77		anticodon=TTG
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3137124	3137798	-					bluB		EJO50_RS13765	675		old_locus_tag=EJO50_13765
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3137124	3137798	-	WP_125975079.1	WP_125975079.1		5,6-dimethylbenzimidazole synthase	bluB		EJO50_RS13765	675	224	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3138011	3141760	-					metH		EJO50_RS13770	3750		old_locus_tag=EJO50_13770
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3138011	3141760	-	WP_125975081.1	WP_125975081.1		methionine synthase	metH		EJO50_RS13770	3750	1249	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3141950	3142921	+							EJO50_RS13775	972		old_locus_tag=EJO50_13775
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3141950	3142921	+	WP_233702092.1	WP_233702092.1		quinone oxidoreductase			EJO50_RS13775	972	323	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3142926	3143507	+							EJO50_RS13780	582		old_locus_tag=EJO50_13780
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3142926	3143507	+	WP_164521515.1	WP_164521515.1		esterase YqiA			EJO50_RS13780	582	193	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3143615	3144523	+							EJO50_RS13785	909		old_locus_tag=EJO50_13785
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3143615	3144523	+	WP_125975087.1	WP_125975087.1		Dyp-type peroxidase			EJO50_RS13785	909	302	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3144707	3145900	+							EJO50_RS13790	1194		old_locus_tag=EJO50_13790
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3144707	3145900	+	WP_125975089.1	WP_125975089.1		branched-chain amino acid ABC transporter substrate-binding protein			EJO50_RS13790	1194	397	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	3146125	3147075	+							EJO50_RS13795	951		old_locus_tag=EJO50_13795
